epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6231391773404712,0.7694230854704653,0.3846947750845989,0.8644542183126749,0.0005
2,0.29711456722920776,0.8949286634961554,0.8541413441103776,0.7138144742103159,0.0005
3,0.22434891737748175,0.9209742655229122,1.480211848615021,0.7118152738904439,0.0005
4,0.18381135054109832,0.9353526823414374,1.4711590675962587,0.733406637345062,0.0005
5,0.16252055672237495,0.9433863727276768,0.9312099013605104,0.7543982407037185,5e-05
6,0.10209382686432353,0.9654540201786747,0.07695600915161124,0.9746101559376249,5e-05
7,0.09405567748098308,0.967643006355838,0.09299290876546572,0.9680127948820472,5e-05
8,0.09068560216480158,0.968598604382417,0.11084111344618405,0.9596161535385845,5e-05
9,0.08768850050127638,0.9703097915462909,0.07244682701695897,0.9767093162734906,5e-05
10,0.08371710637702301,0.9712876127827903,0.11543929900673021,0.962514994002399,5e-05
11,0.08365003311195851,0.9711542735232677,0.21968566120733407,0.9244302279088364,5e-05
12,0.08025198855005061,0.9715098448819948,0.06356539104806308,0.9783086765293882,5e-05
13,0.07800967916081315,0.9732321436508289,0.06586093994719101,0.978108756497401,5e-05
14,0.075029449237787,0.9740877372327659,0.07779462464161772,0.9739104358256697,5e-05
15,0.07437753065470315,0.974343304146851,0.06346570060536122,0.9796081567373051,5e-05
16,0.07141270603333633,0.9749766656295835,0.09617648602920681,0.9644142343062775,5e-05
17,0.07150262832523877,0.9752322325436686,0.07350468634986837,0.9754098360655737,5e-05
18,0.06921094110140945,0.9762545002000089,0.07196736746629481,0.9753098760495802,5e-05
19,0.06852401853926704,0.9759433752611227,0.07062571384715541,0.9767093162734906,5e-06
20,0.0621738098402397,0.9784323747722121,0.050564535082778514,0.9843062774890043,5e-06
21,0.061321098913256364,0.9787101648962176,0.05023346571162377,0.9838064774090364,5e-06
22,0.06102023723174409,0.9790768478599049,0.05009718268834867,0.984406237504998,5e-06
23,0.05948394371636314,0.9794324192186319,0.05062572137181856,0.98390643742503,5e-06
24,0.05983716376367388,0.9796213165029557,0.04913930534188876,0.98390643742503,5e-06
25,0.06036720155622846,0.9791101826747856,0.04992174128946623,0.9837065173930428,5e-06
26,0.05862919872282182,0.9798102137872794,0.04873699828454441,0.9841063574570172,5e-06
27,0.060822387143821016,0.9790990710698253,0.051005396928695546,0.9847061175529788,5e-06
28,0.05998502027593486,0.979587981688075,0.04905559951718327,0.9842063174730108,5e-06
29,0.05849548240649514,0.9797657673674386,0.047989061897446915,0.9843062774890043,5e-06
30,0.06086216468338005,0.9792324103293479,0.04786877661090267,0.9848060775689724,5e-06
31,0.05816714343174817,0.9800880039112849,0.048906612175811486,0.9842063174730108,5e-06
32,0.05933396471374552,0.9792768567491889,0.049362455911284846,0.9840063974410236,5e-06
33,0.05890107835849177,0.9799213298368816,0.04818609754746482,0.9842063174730108,5e-06
34,0.05810032368027185,0.979987999466643,0.04780687631270189,0.984906037584966,5e-06
35,0.058599570508724434,0.9796657629227966,0.04726639111336548,0.984906037584966,5e-06
36,0.05823077717899039,0.9800657807013645,0.048949638201147505,0.984406237504998,5e-06
37,0.05667226672387961,0.9802435663807281,0.04788845332427741,0.9852059176329468,5e-06
38,0.057551280252640946,0.9800324458864839,0.04825205867988719,0.9851059576169532,5e-06
39,0.05764840732326648,0.9798213253922397,0.04765988944007256,0.9850059976009596,5.000000000000001e-07
40,0.057233805676980234,0.9796213165029557,0.046900423925970255,0.9850059976009596,5.000000000000001e-07
